n,kappa,z
1.310000000000000000e+02,1.319572421139607599e+00,3.500969076136062341e+01
1.320000000000000000e+02,7.929784574178041723e+00,4.750203857036253835e-02
1.330000000000000000e+02,2.647347137575251974e+00,9.421572348598987290e+00
1.340000000000000000e+02,2.651402146295644080e+00,9.453997365021407973e+00
1.350000000000000000e+02,5.310854011947019337e+00,6.665905874077535653e-01
1.360000000000000000e+02,5.318844323238542060e+00,6.661839552459231095e-01
1.370000000000000000e+02,1.331694024231362405e+00,3.617205652669878901e+01
1.380000000000000000e+02,5.334650184475151491e+00,6.653803151506871849e-01
1.390000000000000000e+02,1.335616854727848635e+00,3.655642942559423858e+01
1.400000000000000000e+02,8.025342923014692431e+00,4.578949868959984043e-02
1.410000000000000000e+02,2.678967285737271276e+00,9.677393559419948943e+00
1.420000000000000000e+02,2.682793034048541969e+00,9.708812940098210831e+00
1.430000000000000000e+02,2.686591934782107671e+00,9.740112768652293695e+00
1.440000000000000000e+02,1.008886635796804043e+01,5.981684519926385932e-03
1.450000000000000000e+02,2.694110682494783582e+00,9.802358891493625492e+00
1.460000000000000000e+02,2.697831254755024943e+00,9.833307690743962937e+00
1.470000000000000000e+02,4.052289645629532089e+00,2.555231793709698884e+00
1.480000000000000000e+02,4.057794830780062867e+00,2.558490517502860051e+00
1.490000000000000000e+02,1.354420981231861054e+00,3.845640740971133908e+01
1.500000000000000000e+02,8.137388960662617521e+00,4.385995041305384284e-02
1.510000000000000000e+02,1.358029975585387295e+00,3.883220240243664279e+01
1.520000000000000000e+02,5.439266345885056531e+00,6.600855540336956206e-01
1.530000000000000000e+02,4.084774445375054519e+00,2.574520944964246549e+00
1.540000000000000000e+02,5.453419256776335544e+00,6.593724996250684978e-01
1.550000000000000000e+02,2.730213466723650839e+00,1.010683219591375170e+01
1.560000000000000000e+02,8.201084316542713637e+00,4.279952351458409660e-02
1.570000000000000000e+02,1.368576916361496032e+00,3.995160669245018425e+01
1.580000000000000000e+02,2.740590930827892624e+00,1.019608784590477768e+01
1.590000000000000000e+02,2.744006343626925304e+00,1.022563557164620995e+01
1.600000000000000000e+02,8.242201029116522193e+00,4.212865140272682024e-02
1.610000000000000000e+02,2.750773195899729462e+00,1.028443069965905465e+01
1.620000000000000000e+02,6.885312910222273430e+00,1.656767671019490074e-01
1.630000000000000000e+02,1.378728252325471804e+00,4.105948826791294692e+01
1.640000000000000000e+02,4.141151204870880065e+00,2.608343180319429244e+00
1.650000000000000000e+02,5.528116615208285012e+00,6.556218258148968081e-01
1.660000000000000000e+02,2.767329260957352322e+00,1.042971065898471039e+01
1.670000000000000000e+02,1.385290284413305484e+00,4.179194125509491187e+01
1.680000000000000000e+02,1.109524986314785799e+01,2.550959072282951538e-03
1.690000000000000000e+02,2.082768886677748732e+00,2.105482664713847285e+01
1.700000000000000000e+02,5.560437888994799849e+00,6.540055430530721248e-01
1.710000000000000000e+02,4.175090962359941038e+00,2.628918629489668479e+00
1.720000000000000000e+02,4.179825737870688229e+00,2.631801884919157342e+00
1.730000000000000000e+02,1.394844355084424725e+00,4.288178910458946547e+01
1.740000000000000000e+02,5.585617681220367281e+00,6.527491445044919516e-01
1.750000000000000000e+02,4.193866635824540445e+00,2.640370737312608629e+00
1.760000000000000000e+02,6.997489159388608826e+00,1.608947001431922652e-01
1.770000000000000000e+02,2.802062760531984775e+00,1.074120169022556759e+01
1.780000000000000000e+02,2.805112577798399176e+00,1.076899285096879311e+01
1.790000000000000000e+02,1.404072654582085855e+00,4.396145165892200879e+01
1.800000000000000000e+02,1.265022515251322943e+01,5.772308402975390986e-04
1.810000000000000000e+02,1.407080136262101488e+00,4.431915139379166391e+01
1.820000000000000000e+02,5.634285751686116228e+00,6.503275859844485085e-01
1.830000000000000000e+02,2.820109136048022158e+00,1.090669713695796261e+01
1.840000000000000000e+02,5.646118462534011506e+00,6.497401891970177035e-01
1.850000000000000000e+02,2.825993336731503991e+00,1.096120793338341670e+01
1.860000000000000000e+02,5.657823249678101796e+00,6.491596647540991416e-01
1.870000000000000000e+02,2.831814265214002813e+00,1.101540063810568348e+01
1.880000000000000000e+02,4.252052137150051259e+00,2.676178450765426042e+00
1.890000000000000000e+02,5.675146535502126888e+00,6.483014303839248482e-01
1.900000000000000000e+02,5.680859911641314319e+00,6.480186258282553124e-01
1.910000000000000000e+02,1.421635824041650675e+00,4.609191725816847196e+01
1.920000000000000000e+02,9.961344754039842542e+00,9.060333204978692281e-03
1.930000000000000000e+02,1.424455334603970780e+00,4.644342263668193027e+01
1.940000000000000000e+02,2.851708304028546692e+00,1.120264437154282255e+01
1.950000000000000000e+02,5.708983110118066584e+00,6.466283618794527177e-01
1.960000000000000000e+02,6.428836281260514873e+00,3.164083597333898767e-01
1.970000000000000000e+02,1.430007746050967921e+00,4.714349250470954900e+01
1.980000000000000000e+02,8.588269397158628138e+00,3.688308011865199659e-02
1.990000000000000000e+02,1.432741815423635323e+00,4.749208232732566870e+01
2.000000000000000000e+02,8.604591377750907100e+00,3.665248640005516756e-02
2.010000000000000000e+02,2.870897087289173033e+00,1.138626518577227742e+01
2.020000000000000000e+02,2.873583649294215725e+00,1.141221243356964621e+01
2.030000000000000000e+02,2.876256944272337357e+00,1.143809023789856738e+01
2.040000000000000000e+02,8.636751307838398617e+00,3.620234750696808834e-02
2.050000000000000000e+02,2.881564252792049086e+00,1.148963961589247873e+01
2.060000000000000000e+02,2.884198521410947347e+00,1.151531222316322634e+01
2.070000000000000000e+02,4.330230049846656826e+00,2.725055359764374074e+00
2.080000000000000000e+02,7.223572278025836901e+00,1.516721192381849936e-01
2.090000000000000000e+02,2.892025276537260048e+00,1.159192778680802505e+01
2.100000000000000000e+02,1.157843699466037179e+01,1.966835321062673520e-03
2.110000000000000000e+02,1.448590472672305562e+00,4.956414358957012922e+01
2.120000000000000000e+02,4.349610723984532967e+00,2.737309628673767037e+00
2.130000000000000000e+02,2.902287975042070922e+00,1.169316158094416025e+01
2.140000000000000000e+02,2.904823535335410156e+00,1.171830887372184549e+01
2.150000000000000000e+02,2.907347274791920899e+00,1.174339263321450488e+01
2.160000000000000000e+02,1.163943721247335894e+01,1.903313803697793440e-03
2.170000000000000000e+02,2.912359728501204614e+00,1.179337136660838325e+01
2.180000000000000000e+02,2.914848657634816043e+00,1.181826723436484805e+01
2.190000000000000000e+02,2.917326195748553896e+00,1.184310135671919895e+01
2.200000000000000000e+02,8.759377339900717985e+00,3.453611145408919114e-02
2.210000000000000000e+02,2.922247512668893599e+00,1.189258609635747455e+01
2.220000000000000000e+02,5.849382989693808099e+00,6.397322127155032900e-01
2.230000000000000000e+02,1.463562246399144007e+00,5.160453339192257260e+01
2.240000000000000000e+02,8.788639814449181742e+00,3.414996347219588502e-02
2.250000000000000000e+02,6.596905337732404284e+00,3.070314985469381752e-01
2.260000000000000000e+02,2.934358557681948199e+00,1.201524717995142666e+01
2.270000000000000000e+02,1.468374294320625273e+00,5.227800474075602466e+01
2.280000000000000000e+02,8.817384341808173431e+00,3.377485416939417229e-02
2.290000000000000000e+02,1.470748612760055307e+00,5.261353419816140331e+01
2.300000000000000000e+02,5.887712028290269295e+00,6.378623831045829862e-01
2.310000000000000000e+02,5.892409138763392562e+00,6.376336172396636082e-01
2.320000000000000000e+02,5.897085959279227296e+00,6.374059210821275689e-01
2.330000000000000000e+02,1.475435666093962483e+00,5.328222508530695478e+01
2.340000000000000000e+02,8.859569139523300052e+00,3.323180019927484546e-02
2.350000000000000000e+02,2.955498207644829733e+00,1.223238944705680176e+01
2.360000000000000000e+02,4.436695349342122618e+00,2.793056331804278702e+00
2.370000000000000000e+02,2.960085871821421577e+00,1.228002881621688758e+01
2.380000000000000000e+02,5.924730412549907399e+00,6.360616802123636448e-01
2.390000000000000000e+02,1.482317491871274040e+00,5.427946942067206493e+01
2.400000000000000000e+02,1.483447642016184886e+01,8.663232909985537917e-05
2.410000000000000000e+02,1.484573092978525022e+00,5.461037267891961733e+01
2.420000000000000000e+02,4.457081651025264435e+00,2.806269651179583491e+00
2.430000000000000000e+02,4.460430157623657799e+00,2.808445944552700357e+00
2.440000000000000000e+02,4.463764912616178471e+00,2.810614977706272999e+00
2.450000000000000000e+02,4.467086028490871108e+00,2.812776804467396641e+00
2.460000000000000000e+02,5.960524821814898289e+00,6.343253499633648707e-01
2.470000000000000000e+02,2.982458523992151278e+00,1.251502362523968692e+01
2.480000000000000000e+02,5.969291527736961811e+00,6.339008140042138306e-01
2.490000000000000000e+02,2.986824201950880830e+00,1.256140093855492168e+01
2.500000000000000000e+02,5.977987817590196151e+00,6.334799687255127099e-01
2.510000000000000000e+02,1.495577477055948012e+00,5.625390506630620280e+01
2.520000000000000000e+02,1.346988333051221964e+01,3.560447107510964545e-04
2.530000000000000000e+02,2.995451334861737980e+00,1.265355437371417402e+01
2.540000000000000000e+02,2.997586805611018868e+00,1.267646926886743408e+01
2.550000000000000000e+02,5.999427770981856867e+00,6.324436041066983094e-01
2.560000000000000000e+02,6.754123440413259516e+00,2.985117462705189628e-01
2.570000000000000000e+02,1.501971567301616961e+00,5.723150409127199367e+01
2.580000000000000000e+02,6.012090865814642804e+00,6.318322919470170662e-01
2.590000000000000000e+02,3.008139598509057322e+00,1.279031780474886126e+01
2.600000000000000000e+02,9.030677082265389899e+00,3.111717220498029512e-02
2.610000000000000000e+02,4.518455672405568890e+00,2.846427601639589522e+00
2.620000000000000000e+02,3.014373922302174158e+00,1.285805652054178694e+01
2.630000000000000000e+02,1.508218088365622433e+00,5.820294435862601290e+01
2.640000000000000000e+02,1.207396241899589029e+01,1.506429020731713322e-03
2.650000000000000000e+02,3.020537265534483762e+00,1.292537664072754033e+01
2.660000000000000000e+02,6.045152435196421870e+00,6.302390252367922052e-01
2.670000000000000000e+02,3.024607518791928129e+00,1.297002777243093163e+01
2.680000000000000000e+02,4.539946839477904561e+00,2.860625024621922030e+00
2.690000000000000000e+02,1.514323698371029980e+00,5.916840388369043779e+01
2.700000000000000000e+02,1.212262434398587452e+01,1.467489171760311475e-03
2.710000000000000000e+02,1.516328674697826173e+00,5.948892413201134843e+01
2.720000000000000000e+02,7.586628104105574977e+00,1.379552339925425586e-01
2.730000000000000000e+02,6.073275633673174134e+00,6.288869057744923552e-01
2.740000000000000000e+02,3.038617128485683772e+00,1.312489722410157178e+01
2.750000000000000000e+02,4.560883844267552334e+00,2.874524454389066452e+00
2.760000000000000000e+02,9.127662516781601454e+00,2.997889481496346722e-02
2.770000000000000000e+02,1.522256004255063244e+00,6.044667080015947391e+01
2.780000000000000000e+02,3.046462789478656230e+00,1.321243358113588506e+01
2.790000000000000000e+02,4.572609848748870220e+00,2.882338468970812251e+00
2.800000000000000000e+02,1.220137355077809183e+01,1.406594213936798125e-03
2.810000000000000000e+02,1.526136652325520204e+00,6.108204845340699762e+01
2.820000000000000000e+02,6.108392731520460472e+00,6.272026024862442650e-01
2.830000000000000000e+02,1.528056309779608046e+00,6.139881822779970832e+01
2.840000000000000000e+02,4.587033171107251839e+00,2.891979069970243010e+00
2.850000000000000000e+02,6.119849793628372225e+00,6.266540698323004310e-01
2.860000000000000000e+02,6.123642029610133264e+00,6.264726136872059703e-01
2.870000000000000000e+02,3.063710514569602861e+00,1.340692951382924392e+01
2.880000000000000000e+02,1.379517048966496340e+01,2.939179211019162961e-04
2.890000000000000000e+02,2.300602382325592110e+00,2.895735718087559363e+01
2.900000000000000000e+02,6.138679525035485085e+00,6.257535959548488069e-01
2.910000000000000000e+02,3.071203245022075645e+00,1.349231173558687935e+01
2.920000000000000000e+02,4.609590502166976300e+00,2.907121161995824377e+00
2.930000000000000000e+02,1.537455537748348311e+00,6.297369322122560220e+01
2.940000000000000000e+02,9.230266531327940172e+00,2.881996900184437271e-02
2.950000000000000000e+02,3.078593682439543677e+00,1.357706095112031974e+01
2.960000000000000000e+02,6.160851267752668114e+00,6.246949593497733710e-01
2.970000000000000000e+02,6.164502813426143035e+00,6.245207804539975038e-01
2.980000000000000000e+02,3.084071042486681069e+00,1.364021539917122183e+01
2.990000000000000000e+02,3.085884582316628766e+00,1.366119034234374752e+01
3.000000000000000000e+02,1.389461430109724205e+01,2.771832199862156779e-04
3.010000000000000000e+02,3.089493536569474674e+00,1.370302660049958199e+01
3.020000000000000000e+02,3.091289031193733550e+00,1.372388830335655818e+01
3.030000000000000000e+02,3.093078590287744234e+00,1.374471264459648978e+01
3.040000000000000000e+02,7.737155632413719175e+00,1.326384954183200959e-01
3.050000000000000000e+02,3.096640057955581060e+00,1.378625000018764446e+01
3.060000000000000000e+02,9.295236130818985032e+00,2.810940590696830652e-02
3.070000000000000000e+02,1.550089123945341374e+00,6.515432089590524356e+01
3.080000000000000000e+02,9.305816125233377534e+00,2.799536432710241635e-02
3.090000000000000000e+02,3.103693462404476300e+00,1.386888462175962289e+01
3.100000000000000000e+02,6.210885093493219600e+00,6.223125652306791267e-01
3.110000000000000000e+02,1.553592998978557294e+00,6.577237472708598887e+01
3.120000000000000000e+02,1.243569540881545343e+01,1.239940082613098359e-03
3.130000000000000000e+02,1.555328072653758165e+00,6.608059397422579195e+01
3.140000000000000000e+02,3.112382912745951025e+00,1.397136772846038610e+01
3.150000000000000000e+02,9.342312568975867038e+00,2.760550885030201365e-02
3.160000000000000000e+02,4.673730016276277155e+00,2.950610792751875877e+00
3.170000000000000000e+02,1.558765205399025966e+00,6.669543891358578946e+01
3.180000000000000000e+02,6.238470847299768529e+00,6.210029389075045758e-01
3.190000000000000000e+02,3.120935083234345431e+00,1.407297117199661862e+01
3.200000000000000000e+02,1.092920298071629759e+01,5.736637825672013559e-03
3.210000000000000000e+02,3.124318476328939109e+00,1.411337101263125327e+01
3.220000000000000000e+02,6.252004551845376845e+00,6.203614379898911846e-01
3.230000000000000000e+02,3.127680854424045975e+00,1.415363481940958401e+01
3.240000000000000000e+02,1.173507841541950647e+01,2.594568909613875329e-03
3.250000000000000000e+02,4.696533715449888291e+00,2.966229052748722061e+00
3.260000000000000000e+02,3.132685584673902568e+00,1.421377829585211927e+01
3.270000000000000000e+02,3.134343598628344996e+00,1.423375949571115306e+01
3.280000000000000000e+02,6.271993099873759192e+00,6.194151878453496574e-01
3.290000000000000000e+02,3.137644469422383509e+00,1.427362289723656374e+01
3.300000000000000000e+02,1.255714955050840587e+01,1.161483866535487509e-03
3.310000000000000000e+02,1.570462667408019763e+00,6.883110208441317468e+01
3.320000000000000000e+02,4.713837511470466701e+00,2.978135571128352588e+00
3.330000000000000000e+02,4.716279653760649282e+00,2.979819821840622662e+00
3.340000000000000000e+02,3.145809648849569928e+00,1.437271107050575125e+01
3.350000000000000000e+02,3.147428009196731491e+00,1.439243214039332841e+01
3.360000000000000000e+02,1.574520772904961596e+01,4.878456583094313429e-05
3.370000000000000000e+02,1.575325143679623174e+00,6.973886641516878626e+01
3.380000000000000000e+02,4.728381393389935461e+00,2.988179987070357591e+00
3.390000000000000000e+02,3.153853498675476708e+00,1.447099944936569749e+01
3.400000000000000000e+02,9.466344073561074879e+00,2.632072951034141947e-02
3.410000000000000000e+02,3.157037867463213132e+00,1.451009493814083307e+01
3.420000000000000000e+02,9.475869164788758070e+00,2.622457245661840436e-02
3.430000000000000000e+02,3.160203614104800440e+00,1.454906649385238815e+01
3.440000000000000000e+02,6.323559143873502819e+00,6.169807305126981944e-01
3.450000000000000000e+02,6.326701910277327201e+00,6.168326687439300571e-01
3.460000000000000000e+02,3.164917790191808411e+00,1.460729388114900473e+01
3.470000000000000000e+02,1.583240051674090765e+00,7.124215645684479625e+01
3.480000000000000000e+02,9.504113761899427359e+00,2.594149984147138543e-02
3.490000000000000000e+02,1.584795633924007463e+00,7.154139893885528068e+01
3.500000000000000000e+02,9.513420511717955108e+00,2.584889676604704492e-02
3.510000000000000000e+02,6.345369308335924607e+00,6.159539437582126631e-01
3.520000000000000000e+02,9.522674231335207296e+00,2.575714909271784731e-02
3.530000000000000000e+02,1.587880232167217187e+00,7.213849584551154237e+01
3.540000000000000000e+02,6.354583681109886584e+00,6.155206598390493555e-01
3.550000000000000000e+02,3.178818896949629824e+00,1.478035438439321325e+01
3.560000000000000000e+02,4.770512486732037871e+00,3.017468528032736241e+00
3.570000000000000000e+02,6.363720294536964417e+00,6.150913333085087364e-01
3.580000000000000000e+02,3.183374389187130671e+00,1.483751242311431007e+01
3.590000000000000000e+02,1.592442203636731612e+00,7.303072075265882290e+01
3.600000000000000000e+02,1.911834135015539005e+01,1.791894140200571548e-06
3.610000000000000000e+02,2.390918899310477741e+00,3.304793419911606378e+01
3.620000000000000000e+02,3.189389352547161938e+00,1.491332128164588866e+01
3.630000000000000000e+02,4.786324062515556754e+00,3.028534295868322790e+00
3.640000000000000000e+02,9.577115867598051224e+00,2.522393332745807154e-02
3.650000000000000000e+02,3.193857117656112354e+00,1.496988080177234615e+01
3.660000000000000000e+02,6.390676432141961349e+00,6.138264173271863466e-01
3.670000000000000000e+02,1.598407636642303675e+00,7.421410388418713922e+01
3.680000000000000000e+02,7.995720778224912451e+00,1.239796499618564807e-01
3.690000000000000000e+02,4.799636027851466480e+00,3.037882164388344464e+00
3.700000000000000000e+02,6.402444833508925903e+00,6.132750014689963836e-01
3.710000000000000000e+02,3.202683527312037537e+00,1.508224969234324675e+01
3.720000000000000000e+02,9.612422114586028243e+00,2.488404956938751120e-02
3.730000000000000000e+02,1.602796985260618312e+00,7.509706181602211927e+01
3.740000000000000000e+02,6.414086690473923547e+00,6.127300023198529733e-01
3.750000000000000000e+02,6.416977699577254057e+00,6.125947383868729501e-01
3.760000000000000000e+02,6.419861009579319600e+00,6.124598644190200059e-01
3.770000000000000000e+02,3.211368330689236217e+00,1.519363905072708221e+01
3.780000000000000000e+02,1.285120939109608962e+01,9.914766152802050730e-04
3.790000000000000000e+02,1.607116288084945221e+00,7.597618356255544825e+01
3.800000000000000000e+02,9.646977107530847917e+00,2.455583303466012807e-02
3.810000000000000000e+02,3.217081746604547821e+00,1.526736629403434975e+01
3.820000000000000000e+02,3.218500728106260311e+00,1.528573255358638150e+01
3.830000000000000000e+02,1.609957999924090277e+00,7.656017165627619647e+01
3.840000000000000000e+02,1.288531032470879900e+01,9.734464210381063879e-04
3.850000000000000000e+02,6.445470982578510366e+00,6.112631969702587709e-01
3.860000000000000000e+02,3.224139749230900520e+00,1.535893854569888894e+01
3.870000000000000000e+02,4.838310560851274644e+00,3.065204021742421681e+00
3.880000000000000000e+02,4.840406076077258035e+00,3.066691409121146350e+00
3.890000000000000000e+02,1.614165399145230273e+00,7.743306954667622222e+01
