n,kappa,z
2.000000000000000000e+00,1.876145400114794248e-01,1.657868333227335400e+00
3.000000000000000000e+00,2.973620105082439014e-01,2.228325213912175862e+00
4.000000000000000000e+00,5.628436200344382190e-01,2.278348278286760564e+00
5.000000000000000000e+00,4.356274714620232413e-01,3.234293271825418703e+00
6.000000000000000000e+00,9.699531010394465413e-01,2.274604902724528976e+00
7.000000000000000000e+00,5.267006023508000734e-01,4.133851531895467168e+00
8.000000000000000000e+00,1.125687240068876438e+00,2.595435438586122689e+00
9.000000000000000000e+00,8.920860315247315375e-01,3.688200042977142434e+00
1.000000000000000000e+01,1.246484022947005554e+00,2.875139141285362854e+00
1.100000000000000000e+01,6.490396718318043323e-01,5.748020881083707678e+00
1.200000000000000000e+01,2.017773271593608087e+00,1.595414182689622429e+00
1.300000000000000000e+01,6.942562955592496143e-01,6.492794748969137331e+00
1.400000000000000000e+01,1.428630284724558885e+00,3.354917046862502694e+00
1.500000000000000000e+01,1.465978963940534285e+00,3.462778277238773406e+00
1.600000000000000000e+01,1.876145400114794359e+00,2.450870633700319878e+00
1.700000000000000000e+01,7.668674607751971850e-01,7.895917733187688192e+00
1.800000000000000000e+01,2.347015683083900850e+00,1.721775584309680029e+00
1.900000000000000000e+01,7.969729664368258026e-01,8.563132014096053624e+00
2.000000000000000000e+01,2.432569654454946217e+00,1.756217975071703297e+00
2.100000000000000000e+01,1.648125225718087838e+00,4.040616227922753545e+00
2.200000000000000000e+01,1.673308423686567403e+00,4.127756461345264860e+00
2.300000000000000000e+01,8.486859955990645465e-01,9.843469302621416617e+00
2.400000000000000000e+01,3.440822522170728703e+00,7.689197341649439688e-01
2.500000000000000000e+01,1.306882414386069557e+00,6.766563902773912176e+00
2.600000000000000000e+01,1.763741671141458189e+00,4.456460614925611630e+00
2.700000000000000000e+01,1.784172063049463075e+00,4.534273185672198281e+00
2.800000000000000000e+01,2.705789047121276436e+00,1.870892262992661648e+00
2.900000000000000000e+01,9.114278697853686051e-01,1.165654657790317472e+01
3.000000000000000000e+01,3.682416087926986048e+00,7.548632241092174677e-01
3.100000000000000000e+01,9.294792618998021227e-01,1.223753591379535344e+01
3.200000000000000000e+01,2.814218100172191317e+00,1.918450449473533492e+00
3.300000000000000000e+01,1.892803364680096134e+00,4.971413453641864599e+00
3.400000000000000000e+01,1.908964001573353331e+00,5.039951822666300707e+00
3.500000000000000000e+01,1.924656147625646518e+00,5.107407382221964554e+00
3.600000000000000000e+01,4.364788954677509381e+00,4.578241977693956466e-01
3.700000000000000000e+01,9.773691969037286986e-01,1.392309143004243666e+01
3.800000000000000000e+01,1.969175012896610566e+00,5.303734244148762045e+00
3.900000000000000000e+01,1.983236612134986920e+00,5.367300242671255717e+00
4.000000000000000000e+01,3.993884365985846063e+00,7.371197537449231119e-01
4.100000000000000000e+01,1.005154654934001357e+00,1.500550917147280749e+01
4.200000000000000000e+01,4.046708611482093154e+00,7.341521425277403035e-01
4.300000000000000000e+01,1.018046165933937264e+00,1.553590737791685150e+01
4.400000000000000000e+01,3.072806255564289213e+00,2.036806985284725258e+00
4.500000000000000000e+01,3.091054477435532633e+00,2.045429950899011473e+00
4.600000000000000000e+01,2.072601071221088276e+00,5.789467539509756122e+00
4.700000000000000000e+01,1.042121632360391681e+00,1.657716207257859509e+01
4.800000000000000000e+01,5.239100852770808281e+00,2.546411851343380328e-01
4.900000000000000000e+01,1.580101807052400220e+00,1.009175234817852385e+01
5.000000000000000000e+01,3.176608448806577556e+00,2.086346722101488638e+00
5.100000000000000000e+01,2.128458942566882062e+00,6.070049076670636978e+00
5.200000000000000000e+01,3.208456126746625614e+00,2.101786278202715685e+00
5.300000000000000000e+01,1.074641161305218917e+00,1.809527315027014183e+01
5.400000000000000000e+01,4.318802286144844516e+00,7.190544171874602153e-01
5.500000000000000000e+01,2.169334286587655036e+00,6.283950848324281857e+00
5.600000000000000000e+01,4.358176889540954058e+00,7.168954973928595154e-01
5.700000000000000000e+01,2.188669953890139741e+00,6.387745019072419872e+00
5.800000000000000000e+01,2.198084819593695727e+00,6.438903044822162691e+00
5.900000000000000000e+01,1.103669369757748653e+00,1.956746179353698878e+01
6.000000000000000000e+01,6.649311371959354844e+00,7.769481073569109442e-02
6.100000000000000000e+01,1.112692557515767122e+00,2.004904068869488043e+01
6.200000000000000000e+01,2.234187603822563428e+00,6.638903280336805324e+00
6.300000000000000000e+01,3.364273870101862851e+00,2.178988669942397038e+00
6.400000000000000000e+01,3.939905340241067755e+00,1.244803570933771031e+00
6.500000000000000000e+01,2.259767534042545378e+00,6.784358458143822546e+00
6.600000000000000000e+01,4.536064889406110190e+00,7.072223622148698929e-01
6.700000000000000000e+01,1.138086533136342560e+00,2.146891524199793366e+01
6.800000000000000000e+01,3.426289622394468548e+00,2.210498559854142453e+00
6.900000000000000000e+01,2.292096012214617229e+00,6.972755559799052705e+00
7.000000000000000000e+01,4.599770455297211846e+00,7.037900348585266475e-01
7.100000000000000000e+01,1.153781977012791504e+00,2.239634777992413106e+01
7.200000000000000000e+01,6.945405846305555464e+00,6.933955701837057894e-02
7.300000000000000000e+01,1.161301087366032991e+00,2.285473584340572017e+01
7.400000000000000000e+01,2.329967473830416580e+00,7.200119473123780978e+00
7.500000000000000000e+01,3.505850860296870763e+00,2.251591395823587138e+00
7.600000000000000000e+01,3.516606139379354179e+00,2.257204726117055582e+00
7.700000000000000000e+01,2.351480548365208811e+00,7.332561238502081302e+00
7.800000000000000000e+01,4.716931384315891762e+00,6.975210701613091535e-01
7.900000000000000000e+01,1.182680925402466832e+00,2.421002798955034407e+01
8.000000000000000000e+01,5.930428157539703982e+00,2.125875186647120108e-01
8.100000000000000000e+01,2.973620105082438680e+00,4.140551740418628057e+00
8.200000000000000000e+01,2.385538389890961675e+00,7.547231878122619086e+00
8.300000000000000000e+01,1.196050090467196680e+00,2.509805912195460209e+01
8.400000000000000000e+01,7.195750157292016169e+00,6.298029631281486240e-02
8.500000000000000000e+01,2.404989864474440964e+00,7.672644892725980270e+00
8.600000000000000000e+01,2.411321411890833488e+00,7.713915336048799531e+00
8.700000000000000000e+01,2.417579760587224680e+00,7.754926804303766019e+00
8.800000000000000000e+01,4.847533167464970205e+00,6.905987162030591264e-01
8.900000000000000000e+01,1.214941748887720108e+00,2.640872956523702797e+01
9.000000000000000000e+01,7.307796194939942147e+00,6.032633578290078763e-02
9.100000000000000000e+01,2.441913795820099153e+00,7.916472464382007246e+00
9.200000000000000000e+01,3.671745226866070411e+00,2.339748278243515500e+00
9.300000000000000000e+01,2.453682544816092381e+00,7.995804353858856572e+00
9.400000000000000000e+01,2.459472344743742322e+00,8.035124047993617680e+00
9.500000000000000000e+01,2.465200875797698199e+00,8.074217947427838382e+00
9.600000000000000000e+01,7.412608263393845931e+00,5.794505344094664362e-02
9.700000000000000000e+01,1.238239612002793866e+00,2.811972722489749188e+01
9.800000000000000000e+01,3.723047234139238881e+00,2.367702899782012871e+00
9.900000000000000000e+01,3.731291078544875628e+00,2.372226039726989200e+00
1.000000000000000000e+02,5.609178103261524662e+00,3.664079615586557925e-01
1.010000000000000000e+02,1.249177284635628382e+00,2.896080118044997320e+01
1.020000000000000000e+02,5.007376045179681157e+00,6.822199049094906931e-01
1.030000000000000000e+02,1.254484720693994193e+00,2.937794631546796964e+01
1.040000000000000000e+02,5.028399662374751777e+00,6.811254582920422962e-01
1.050000000000000000e+02,5.038760337284267976e+00,6.805867487031155294e-01
1.060000000000000000e+02,2.524511402633396351e+00,8.490328494264343107e+00
1.070000000000000000e+02,1.264797227656225598e+00,3.020572895255429913e+01
1.080000000000000000e+02,7.603890669286142767e+00,5.383887752758563516e-02
1.090000000000000000e+02,1.269809788805928541e+00,3.061646981530382305e+01
1.100000000000000000e+02,5.089126733221227994e+00,6.779739813088212497e-01
1.110000000000000000e+02,2.549462414823945089e+00,8.671725464358083002e+00
1.120000000000000000e+02,6.385793811983588419e+00,1.887569744724042486e-01
1.130000000000000000e+02,1.279564738829494619e+00,3.143189305678396650e+01
1.140000000000000000e+02,5.127798067826196515e+00,6.759747069242431072e-01
1.150000000000000000e+02,2.568626934122175687e+00,8.813681184182920347e+00
1.160000000000000000e+02,3.859970849424982031e+00,2.443959186450037180e+00
1.170000000000000000e+02,3.866940949727212029e+00,2.447906048592216166e+00
1.180000000000000000e+02,2.582567819538456266e+00,8.918402199471387348e+00
1.190000000000000000e+02,2.587136126251994739e+00,8.952988318200508999e+00
1.200000000000000000e+02,1.036666481603764289e+01,3.775686444325260065e-03
1.210000000000000000e+02,1.947119015495412775e+00,1.726483079104225737e+01
1.220000000000000000e+02,2.600614195054493205e+00,9.055812798276534181e+00
1.230000000000000000e+02,2.605033330884490184e+00,9.089782899746316147e+00
1.240000000000000000e+02,3.914125025768283361e+00,2.474792464646530021e+00
1.250000000000000000e+02,2.613764828772139559e+00,9.157277410064580181e+00
1.260000000000000000e+02,7.854234980272603472e+00,4.890121318396004751e-02
1.270000000000000000e+02,1.311178862794030175e+00,3.422677469748275314e+01
1.280000000000000000e+02,5.253207120321423673e+00,6.695316396097724665e-01
1.290000000000000000e+02,2.630816352884362441e+00,9.290534177830121365e+00
1.300000000000000000e+02,5.269993228131008678e+00,6.686739026506841599e-01
