range_id,band_id,p_min,p_max,n_train,n_test,winner,delta_bic,delta_logl,exp_bic,ln_bic,exp_ks,ln_ks,exp_ks_p,ln_ks_p
100000000:1000000000,0,100000000.0,146779926.76220676,1758302,753559,lognormal,75287.57911565527,37650.55583912553,5914803.008317016,5839515.429201361,0.13409081083030433,0.07262469884562583,0.0,0.0
100000000:1000000000,1,146779926.76220676,215443469.00318867,2528479,1083635,lognormal,104535.50570001453,52274.700765850954,8547926.830022689,8443391.324322674,0.13163101505290778,0.07264311713411575,0.0,0.0
100000000:1000000000,2,215443469.00318867,316227766.01683795,3638065,1559171,lognormal,143871.81698423065,71943.0383245293,12361178.651101962,12217306.834117731,0.12970352777063548,0.07182621564828529,0.0,0.0
100000000:1000000000,3,316227766.01683795,464158883.3612773,5236286,2244123,lognormal,200061.0625358373,100037.84318059683,17879137.16023398,17679076.09769814,0.12767210303453108,0.07178558024467319,0.0,0.0
100000000:1000000000,4,464158883.3612773,681292069.0579622,7539261,3231113,lognormal,278205.89338392764,139110.4408605732,25867757.091671642,25589551.198287714,0.12605150841862403,0.07222662535612012,0.0,0.0
100000000:1000000000,5,681292069.0579622,1000000000.0,10859858,4654226,lognormal,385091.5436907038,192553.44848844036,37443946.727225095,37058855.18353439,0.12472531197424583,0.07316968799055923,0.0,0.0
