n,prime,is_mersenne,ms
200,1000000000000009667,0,0.011
201,1000000000000009691,0,0.009
202,1000000000000009721,0,0.012
203,1000000000000009753,0,0.011
204,1000000000000009769,0,0.009
205,1000000000000009793,0,0.009
206,1000000000000009829,0,0.012
207,1000000000000009849,0,0.091
208,1000000000000009909,0,0.028
209,1000000000000009919,0,0.008
210,1000000000000009951,0,0.013
211,1000000000000009997,0,0.014
212,1000000000000010011,0,0.010
213,1000000000000010039,0,0.012
214,1000000000000010071,0,0.013
215,1000000000000010099,0,0.010
216,1000000000000010147,0,0.013
217,1000000000000010161,0,0.010
218,1000000000000010173,0,0.006
219,1000000000000010201,0,0.011
220,1000000000000010393,0,0.064
221,1000000000000010447,0,0.014
222,1000000000000010483,0,0.013
223,1000000000000010621,0,0.034
224,1000000000000010629,0,0.009
225,1000000000000010651,0,0.009
226,1000000000000010689,0,0.014
227,1000000000000010699,0,0.008
228,1000000000000010719,0,0.010
229,1000000000000010861,0,0.037
230,1000000000000010879,0,0.009
231,1000000000000010921,0,0.014
232,1000000000000011091,0,0.042
233,1000000000000011113,0,0.008
234,1000000000000011151,0,0.013
235,1000000000000011181,0,0.012
236,1000000000000011193,0,0.006
237,1000000000000011251,0,0.017
238,1000000000000011289,0,0.015
239,1000000000000011301,0,0.009
240,1000000000000011407,0,0.028
241,1000000000000011433,0,0.009
242,1000000000000011449,0,0.008
243,1000000000000011481,0,0.012
244,1000000000000011529,0,0.016
245,1000000000000011557,0,0.011
246,1000000000000011713,0,0.035
247,1000000000000011739,0,0.012
248,1000000000000011763,0,0.009
249,1000000000000011781,0,0.009
250,1000000000000011947,0,0.036
251,1000000000000011949,0,0.007
252,1000000000000011973,0,0.009
253,1000000000000011977,0,0.005
254,1000000000000012003,0,0.009
255,1000000000000012069,0,0.018
256,1000000000000012097,0,0.010
257,1000000000000012111,0,0.009
258,1000000000000012153,0,0.012
259,1000000000000012343,0,0.047
260,1000000000000012439,0,0.030
261,1000000000000012483,0,0.013
262,1000000000000012541,0,0.016
263,1000000000000012559,0,0.009
264,1000000000000012589,0,0.011
265,1000000000000012601,0,0.008
266,1000000000000012831,0,0.058
267,1000000000000012873,0,0.013
268,1000000000000012889,0,0.010
269,1000000000000012901,0,0.007
270,1000000000000012933,0,0.011
271,1000000000000013003,0,0.019
272,1000000000000013029,0,0.012
273,1000000000000013053,0,0.008
274,1000000000000013057,0,0.005
275,1000000000000013059,0,0.007
276,1000000000000013069,0,0.007
277,1000000000000013087,0,0.008
278,1000000000000013231,0,0.035
279,1000000000000013273,0,0.014
280,1000000000000013281,0,0.007
281,1000000000000013371,0,0.026
282,1000000000000013399,0,0.010
283,1000000000000013401,0,0.007
284,1000000000000013447,0,0.013
285,1000000000000013461,0,0.009
286,1000000000000013513,0,0.015
287,1000000000000013563,0,0.013
288,1000000000000013569,0,0.007
289,1000000000000013591,0,0.009
290,1000000000000013651,0,0.018
291,1000000000000013693,0,0.014
292,1000000000000013743,0,0.013
293,1000000000000013777,0,0.010
294,1000000000000013807,0,0.009
295,1000000000000013851,0,0.018
296,1000000000000013899,0,0.016
297,1000000000000013927,0,0.009
298,1000000000000013953,0,0.011
299,1000000000000014029,0,0.022
300,1000000000000014043,0,0.006
301,1000000000000014053,0,0.007
302,1000000000000014071,0,0.007
303,1000000000000014107,0,0.011
304,1000000000000014149,0,0.015
305,1000000000000014193,0,0.012
306,1000000000000014359,0,0.043
307,1000000000000014443,0,0.019
308,1000000000000014449,0,0.007
309,1000000000000014463,0,0.006
310,1000000000000014491,0,0.011
311,1000000000000014499,0,0.008
312,1000000000000014509,0,0.007
313,1000000000000014569,0,0.018
314,1000000000000014581,0,0.007
315,1000000000000014583,0,0.005
316,1000000000000014653,0,0.020
317,1000000000000014863,0,0.046
318,1000000000000014883,0,0.007
319,1000000000000014953,0,0.019
320,1000000000000015019,0,0.018
321,1000000000000015073,0,0.015
322,1000000000000015127,0,0.016
323,1000000000000015129,0,0.006
324,1000000000000015247,0,0.027
325,1000000000000015349,0,0.024
326,1000000000000015373,0,0.011
327,1000000000000015397,0,0.009
328,1000000000000015633,0,0.053
329,1000000000000015811,0,0.044
330,1000000000000015813,0,0.005
331,1000000000000015823,0,0.006
332,1000000000000015843,0,0.008
333,1000000000000015877,0,0.011
334,1000000000000015919,0,0.014
335,1000000000000015967,0,0.013
