n,prime,is_mersenne,ms
1,10000000000000061,0,0.070
2,10000000000000069,0,0.012
3,10000000000000079,0,0.008
4,10000000000000099,0,0.013
5,10000000000000453,0,0.088
6,10000000000000481,0,0.014
7,10000000000000613,0,0.041
8,10000000000000639,0,0.011
9,10000000000000669,0,0.013
10,10000000000000753,0,0.025
