n,prime,is_mersenne,ms
1,100000000000000003,0,0.024
2,100000000000000013,0,0.008
3,100000000000000019,0,0.013
4,100000000000000021,0,0.010
5,100000000000000049,0,0.013
6,100000000000000081,0,0.013
7,100000000000000099,0,0.012
8,100000000000000141,0,0.014
9,100000000000000181,0,0.017
10,100000000000000337,0,0.023
